question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_pct,valid_n,question_total_n
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Fire Resistant Environmental Ensemble (FREE),Q1.14_1,nominal,1,Selected,16,100.0,16,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Flame Resistant Army Combat Uniform (FR ACU),Q1.14_2,nominal,1,Selected,17,100.0,17,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Flame Resistant Army Combat Pants (FR ACP),Q1.14_3,nominal,1,Selected,16,100.0,16,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Flame Resistant Army Combat Shirt (FR ACS),Q1.14_4,nominal,1,Selected,19,100.0,19,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Other:,Q1.14_5,nominal,1,Selected,24,100.0,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,N/A (I do not have experience with FR uniforms),Q1.14_6,nominal,1,Selected,61,100.0,61,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Ante arcu! Per natoque? Metus maecenas ridiculus curabitur! Phasellus eleifend. Eget. Eleifend. Eros.,Ante arcu! Per natoque? Metus maecenas ridiculus curabitur! Phasellus eleifend. Eget. Eleifend. Eros.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Atque potenti ab magnis velit elit facilisi purus tellus dolorem, molestie.","Atque potenti ab magnis velit elit facilisi purus tellus dolorem, molestie.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Augue ac, cursus. Pellentesque scelerisque dictumst molestie lorem? Integer porta enim auctor molestie risus.","Augue ac, cursus. Pellentesque scelerisque dictumst molestie lorem? Integer porta enim auctor molestie risus.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Dapibus, neque, mi dui non aliquam egestas iaculis blandit? Urna proin sit aenean molestie.","Dapibus, neque, mi dui non aliquam egestas iaculis blandit? Urna proin sit aenean molestie.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Dui turpis mi. Suscipit nullam lectus! Risus pede ligula convallis eu dolorem dolor curabitur magnis.,Dui turpis mi. Suscipit nullam lectus! Risus pede ligula convallis eu dolorem dolor curabitur magnis.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Eget rutrum augue magnis per eu. Ultricies felis non iaculis massa primis dignissim metus. Fermentum.,Eget rutrum augue magnis per eu. Ultricies felis non iaculis massa primis dignissim metus. Fermentum.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Erat, culpa nunc ultricies erat, imperdiet? Cursus dolor, integer cursus. Urna! Ullamcorper. Fusce.","Erat, culpa nunc ultricies erat, imperdiet? Cursus dolor, integer cursus. Urna! Ullamcorper. Fusce.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Eros quis vehicula suscipit proin scelerisque primis quis fringilla quis ut nullam elit.,Eros quis vehicula suscipit proin scelerisque primis quis fringilla quis ut nullam elit.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Est ac vitae dolorem dapibus suscipit, consequat ullamcorper magnis pede natoque sed per volutpat dictumst.","Est ac vitae dolorem dapibus suscipit, consequat ullamcorper magnis pede natoque sed per volutpat dictumst.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Imperdiet dui purus orci. In vitae. Suspendisse cursus sagittis scelerisque cras non.,Imperdiet dui purus orci. In vitae. Suspendisse cursus sagittis scelerisque cras non.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Ipsum. Nunc dolor! Fringilla nullam ullamcorper accumsan, curabitur enim blandit. Vehicula ante.","Ipsum. Nunc dolor! Fringilla nullam ullamcorper accumsan, curabitur enim blandit. Vehicula ante.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Justo lectus volutpat purus. Maecenas mauris pretium natoque a quis natoque pretium ultrices.,Justo lectus volutpat purus. Maecenas mauris pretium natoque a quis natoque pretium ultrices.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Ligula suspendisse fermentum nonummy posuere suspendisse lorem dapibus nonummy ante? Fringilla.,Ligula suspendisse fermentum nonummy posuere suspendisse lorem dapibus nonummy ante? Fringilla.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Malesuada magnis arcu. Ultricies id eget? Faucibus quis sed aenean.,Malesuada magnis arcu. Ultricies id eget? Faucibus quis sed aenean.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Massa. Accusamus tincidunt? Lorem pharetra. Odio consectetuer magnis justo dui faucibus.,Massa. Accusamus tincidunt? Lorem pharetra. Odio consectetuer magnis justo dui faucibus.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Mi convallis nonummy platea natoque ipsum integer a primis posuere sed at. Massa nulla fringilla.,Mi convallis nonummy platea natoque ipsum integer a primis posuere sed at. Massa nulla fringilla.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Per egestas? Per risus. Nulla nibh est atque fringilla non duis! Per eget.,Per egestas? Per risus. Nulla nibh est atque fringilla non duis! Per eget.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Placerat. Atque suscipit suscipit aenean odio arcu vestibulum natoque vitae enim porta. Praesent.,Placerat. Atque suscipit suscipit aenean odio arcu vestibulum natoque vitae enim porta. Praesent.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Posuere elit! In malesuada magnis? Eget tempus. Facilisi culpa scelerisque suspendisse primis sapien.,Posuere elit! In malesuada magnis? Eget tempus. Facilisi culpa scelerisque suspendisse primis sapien.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Praesent iaculis. Velit eget morbi consectetuer posuere? Morbi sem. Vestibulum gravida suscipit.,Praesent iaculis. Velit eget morbi consectetuer posuere? Morbi sem. Vestibulum gravida suscipit.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Rutrum. Molestie porta tempus! Purus leo facilisi primis accumsan. Dignissim ut vulputate diam aliquam suscipit.,Rutrum. Molestie porta tempus! Purus leo facilisi primis accumsan. Dignissim ut vulputate diam aliquam suscipit.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Sed vel tempor mauris rutrum etiam placerat nulla cras dignissim magna nunc pharetra! Primis tempor.,Sed vel tempor mauris rutrum etiam placerat nulla cras dignissim magna nunc pharetra! Primis tempor.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Sem? Porttitor donec, felis eros et! Elementum vel nec pellentesque vestibulum.","Sem? Porttitor donec, felis eros et! Elementum vel nec pellentesque vestibulum.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Vestibulum interdum interdum nulla lorem ac potenti massa. Suspendisse amet atque culpa.,Vestibulum interdum interdum nulla lorem ac potenti massa. Suspendisse amet atque culpa.,1,4.17,24,101
